date,stage,match_slug,market_slug,type,group,question,outcome,resolved_price
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-half-team-total-away-1pt5,soccer_first_half_team_totals,South Africa 1st Half O/U 1.5,Mexico vs. South Africa: South Africa 1st Half O/U 1.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-half-team-total-away-1pt5,soccer_first_half_team_totals,South Africa 1st Half O/U 1.5,Mexico vs. South Africa: South Africa 1st Half O/U 1.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-btts-second-half,both_teams_to_score_second_half,Both Teams to Score in Second Half,Mexico vs. South Africa: Both Teams to Score in Second Half,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-btts-second-half,both_teams_to_score_second_half,Both Teams to Score in Second Half,Mexico vs. South Africa: Both Teams to Score in Second Half,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-total-0pt5,second_half_totals,2nd Half O/U 0.5,Mexico vs. South Africa: 2nd Half O/U 0.5,Over,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-total-0pt5,second_half_totals,2nd Half O/U 0.5,Mexico vs. South Africa: 2nd Half O/U 0.5,Under,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-total-1pt5,second_half_totals,2nd Half O/U 1.5,Mexico vs. South Africa: 2nd Half O/U 1.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-total-1pt5,second_half_totals,2nd Half O/U 1.5,Mexico vs. South Africa: 2nd Half O/U 1.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-total-2pt5,second_half_totals,2nd Half O/U 2.5,Mexico vs. South Africa: 2nd Half O/U 2.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-total-2pt5,second_half_totals,2nd Half O/U 2.5,Mexico vs. South Africa: 2nd Half O/U 2.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-team-total-home-0pt5,soccer_second_half_team_totals,Mexico 2nd Half O/U 0.5,Mexico vs. South Africa: Mexico 2nd Half O/U 0.5,Over,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-team-total-home-0pt5,soccer_second_half_team_totals,Mexico 2nd Half O/U 0.5,Mexico vs. South Africa: Mexico 2nd Half O/U 0.5,Under,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-team-total-home-1pt5,soccer_second_half_team_totals,Mexico 2nd Half O/U 1.5,Mexico vs. South Africa: Mexico 2nd Half O/U 1.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-team-total-home-1pt5,soccer_second_half_team_totals,Mexico 2nd Half O/U 1.5,Mexico vs. South Africa: Mexico 2nd Half O/U 1.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-team-total-away-0pt5,soccer_second_half_team_totals,South Africa 2nd Half O/U 0.5,Mexico vs. South Africa: South Africa 2nd Half O/U 0.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-team-total-away-0pt5,soccer_second_half_team_totals,South Africa 2nd Half O/U 0.5,Mexico vs. South Africa: South Africa 2nd Half O/U 0.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-team-total-away-1pt5,soccer_second_half_team_totals,South Africa 2nd Half O/U 1.5,Mexico vs. South Africa: South Africa 2nd Half O/U 1.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-second-half-team-total-away-1pt5,soccer_second_half_team_totals,South Africa 2nd Half O/U 1.5,Mexico vs. South Africa: South Africa 2nd Half O/U 1.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-6pt5,totals,O/U 6.5,Mexico vs. South Africa: O/U 6.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-6pt5,totals,O/U 6.5,Mexico vs. South Africa: O/U 6.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-7pt5,totals,O/U 7.5,Mexico vs. South Africa: O/U 7.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-7pt5,totals,O/U 7.5,Mexico vs. South Africa: O/U 7.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-8pt5,totals,O/U 8.5,Mexico vs. South Africa: O/U 8.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-8pt5,totals,O/U 8.5,Mexico vs. South Africa: O/U 8.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-to-score-home,soccer_first_to_score,Mexico,Mexico to score first vs. South Africa?,Yes,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-to-score-home,soccer_first_to_score,Mexico,Mexico to score first vs. South Africa?,No,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-to-score-away,soccer_first_to_score,South Africa,South Africa to score first vs. Mexico?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-to-score-away,soccer_first_to_score,South Africa,South Africa to score first vs. Mexico?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-to-score-neither,soccer_first_to_score,Neither,Mexico vs. South Africa: Neither team to score first?,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-to-score-neither,soccer_first_to_score,Neither,Mexico vs. South Africa: Neither team to score first?,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-corners-total-8pt5,total_corners,Total Corners: O/U 8.5,Mexico vs. South Africa: O/U 8.5 Total Corners,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-corners-total-8pt5,total_corners,Total Corners: O/U 8.5,Mexico vs. South Africa: O/U 8.5 Total Corners,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-corners-total-9pt5,total_corners,Total Corners: O/U 9.5,Mexico vs. South Africa: O/U 9.5 Total Corners,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-corners-total-9pt5,total_corners,Total Corners: O/U 9.5,Mexico vs. South Africa: O/U 9.5 Total Corners,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-corners-total-11pt5,total_corners,Total Corners: O/U 11.5,Mexico vs. South Africa: O/U 11.5 Total Corners,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-corners-total-11pt5,total_corners,Total Corners: O/U 11.5,Mexico vs. South Africa: O/U 11.5 Total Corners,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-corners-total-10pt5,total_corners,Total Corners: O/U 10.5,Mexico vs. South Africa: O/U 10.5 Total Corners,Over,0
